Product,LicenseID,IMEI,LicenseKey,Effectivedate,Revocationdate
ZZD2GC-P148-01-285,FAL-SDK7-019-00001,864272030799019,G1x-QUCS-d9Sj-n3br-UK4G-1jnt-2Sz0-2vSU,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00002,864272030802649,vAW-GzjM-Q02d-UjAY-UQW5-3rt0-YWQx-Yz5v,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00003,864272030820849,4QS-99zG-9397-4nQ8-2Gr4-15Cd-AUCK-t1AI,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00004,864272037567005,Sdx-nWrQ-QY23-Kb5b-AS5b-KjnW-Wxxn-90m0,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00005,864272037567419,8zh-6KQ1-nntb-SYrh-UYMA-5hGS-rxv0-hd6n,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00006,864272037568052,v3W-r6QI-x0Md-5xI5-nMhI-bxYb-hA0t-n1Qn,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00007,864272037568847,2Wz-bAxS-YhSh-6U1m-2Q2S-5Y9S-x1bj-vKvn,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00008,864272037569258,9jm-rCbC-jQAY-ASdC-2dY5-nvUz-Q4AA-Gbm8,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00009,864272037571130,rjr-CMr5-xWUr-29n3-2mIx-Ar51-d78z-1n3Q,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00010,864272037571239,h61-xnI9-0ASv-GQ6M-nr7t-mx2b-ASUn-M7t4,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00011,864272037571361,dzA-n0bz-I4YY-5t23-AI0n-04IY-n6A8-198r,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00012,864272039304365,m3j-1Q2x-8drW-rWn1-njvx-UAmC-4WG7-vrnI,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00013,864272039443338,27v-2S7S-M63h-Ij7h-Ajjz-758M-Cj2G-UQ9K,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00014,866423030437898,bSW-QW1n-zzA3-AY7Y-nbxj-SSm7-tIQn-5jG8,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00015,866423030439530,1Ch-6Y4z-djm8-C818-nCt6-bm24-MIUG-z434,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00016,866423030439563,63x-1Sn2-1h4A-zWt1-AWvM-z09j-KA1h-UnhA,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00017,866423030439985,5vh-5Ij2-2rQY-08t8-AM33-h1CQ-Adr7-IhWz,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00018,866423030440314,jKm-j0Qm-8Axj-27d6-ndQm-vUC7-YtSx-W2Kj,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00019,866423030444621,U9n-Wj8G-vrzM-W26Y-UdK2-M5jt-rmU7-tQt1,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00020,866423030445388,v2Y-5AIY-mrQb-Q4t2-A3SK-zM1S-0S6C-Sxxd,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00021,866423030446493,6Sz-9r5n-00nA-x0vh-2b53-vIt7-1Wdb-UC5I,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00022,866423030446717,jKm-v1S5-G146-UG77-2Yjn-41mn-x4vt-dQ2G,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00023,866423030510512,Yt5-x6Q1-2mmM-6A99-UQ9n-Ih4j-vn0h-QvKI,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00024,866423030510983,r2r-vI5m-xd8x-bImW-AtSb-tmUm-19v3-CbrQ,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00025,866423030513706,rKj-rUj5-9h4M-5Ydn-AM3t-jSn8-5KA0-nb97,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00026,866423030535220,1A9-GG69-6YjK-UnCz-2vWj-IKKj-S3Yh-Wb2U,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00027,866423030535287,2v1-QItM-M3G8-2rKQ-U56t-zCzU-IS23-xCYM,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00028,866423030535311,MI2-AImA-UUKh-WCIU-U1G0-jIWv-djI1-7Wh5,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00029,866423030535634,Qjt-xzdb-M9W7-tQ9K-nC28-Q99A-b305-7C91,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00030,866423030535964,Q16-Q2tn-z6vm-1QtK-2A0n-9htU-nC60-4SUK,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00031,866423030539263,zKY-vb7d-32Kh-KII3-nx1d-vGM2-64bx-xIQz,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00032,866423030540485,UzC-ndjv-QS48-63W9-Anz5-v6h4-678S-jv62,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00033,866423030540931,IzI-rn55-Gh72-64Sb-nQ13-Mrzd-83Yh-SjIj,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00034,866423030541269,hKG-1UYC-SCrj-4nd7-nUbj-tnmv-48nj-5Y4r,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00035,866423030542226,ACx-3YnQ-8hU5-4UU3-2m24-C3Cn-Wx3n-hzt5,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00036,866423030543026,9mm-2CK2-dId7-9GS3-nK26-jxbm-0r04-zdnh,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00037,866423030543869,txd-j3Qr-nUGG-AtM4-25A6-8t28-8hdC-z3Yd,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00038,866423030544164,b6r-Gn9C-95Cn-SSbQ-2hrm-UAQz-IbS0-vvn6,20190913120000,
ZZD2GC-P148-01-285,FAL-SDK7-019-00039,866423030544313,bG1-ShjQ-AAMn-U9YM-n819-mhjY-Wz3t-vd0C,20190913120000,
